NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
42205;3;R039-MAD.DEUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-03-00.00.00.000000;2026-09-03-00.00.00.000000;67;4479,92;RECEBIMENTO;R;;89701;;;21260903835761000151550030000422051798895490
44203;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;119,4;RECEBIMENTO;R;;92714;;;21260903835761000151550030000442031426233759
44204;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;25337,33;RECEBIMENTO;R;;92715;;;21260903835761000151550030000442041717872950
44205;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;1915,2;RECEBIMENTO;R;;92716;;;21260903835761000151550030000442051999665008
44206;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;103,6;RECEBIMENTO;R;;92717;;;21260903835761000151550030000442061314571964
44207;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;56;238,29;RECEBIMENTO;R;;92718;;;21260903835761000151550030000442071831886435
44208;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;60;2686,82;RECEBIMENTO;R;;92719;;;21260903835761000151550030000442081978110912
346054;0;C001-CD BR;2131-ADEGA ALENTEJANA COM. IMPORT.;2026-08-27-00.00.00.000000;2026-09-09-00.00.00.000000;1;16643,88;CONFERENCIA;C;;92902;GERADA;;35260802314269000259550000003460541682765985
2395;3;C001-CD BR;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-04-00.00.00.000000;2026-09-04-00.00.00.000000;11;,03;RECEBIMENTO;R;;90544;;;21260907555950000121550030000023951167070798
2396;3;R050-ATELIE CLH;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-04-00.00.00.000000;2026-09-04-00.00.00.000000;50;265;RECEBIMENTO;R;;90564;;;21260907555950000121550030000023961248545076
5433290;7;R038-COHATRAC 1;6911-REFRESCOS GUARARAPES LTDA.;2026-09-03-00.00.00.000000;2026-09-04-00.00.00.000000;8;136,08;CONFERENCIA;C;;90555;GERADA;;21260908715757002540550070054332901165649132
5433974;7;R038-COHATRAC 1;6911-REFRESCOS GUARARAPES LTDA.;2026-09-03-00.00.00.000000;2026-09-04-00.00.00.000000;8;77,76;CONFERENCIA;C;;90559;GERADA;;21260908715757002540550070054339741951818742
5433981;7;R038-COHATRAC 1;6911-REFRESCOS GUARARAPES LTDA.;2026-09-03-00.00.00.000000;2026-09-04-00.00.00.000000;8;1053,51;CONFERENCIA;C;;90561;GERADA;;21260908715757002540550070054339811951928429
2264;1;C001-CD BR;6760-F. F. PANTOJA LTDA;2026-09-08-00.00.00.000000;2026-09-10-00.00.00.000000;1;47386,43;RECEBIMENTO;R;;94249;;;21260930275405000101550010000022641000018356
297939;1;R066-CDFATSP;6682-HNK BR BEBIDAS LTDA;2026-09-09-00.00.00.000000;2026-09-10-00.00.00.000000;21;625,21;RECEBIMENTO;R;;94124;;;35260902864417005600550010002979391831725642
276588;1;C001-CD BR;6324-ZAHIL IMPORTADORA LTDA.;2026-08-27-00.00.00.000000;2026-09-10-00.00.00.000000;1;87281,02;RECEBIMENTO;R;;94275;;;35260855761993000106550010002765881928869015
61;50;C001-CD BR;22151-NOVA RICK DOCES GULOSEIMAS LTDA;2026-08-27-00.00.00.000000;2026-09-07-00.00.00.000000;1;10861,76;RECEBIMENTO;R;;91765;;;35260843343270000370550500000000611236118513
208568;1;C001-CD BR;2552-MIMO IMPORTACAO EXPORTACAO LTD;2026-08-25-00.00.00.000000;2026-09-10-00.00.00.000000;1;6358,22;RECEBIMENTO;R;;94319;;;31260805330305000428550010002085681168189158
2523;1;C001-CD BR;6200-RICO INDUSTRIA E COMERCIO DE A;2026-09-04-00.00.00.000000;2026-09-10-00.00.00.000000;1;5379;RECEBIMENTO;R;;94363;;;43260955315650000118550010000025231828587163
909;3;R029-EMP.PDA;28-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;50;176,98;RECEBIMENTO;R;;93255;;;21260907555950002841550030000009091661131757
3728;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;50;301,35;RECEBIMENTO;R;;94576;;;21260907555950005000550030000037281387237900
3729;3;R028-EMP.TURU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;50;443,73;RECEBIMENTO;R;;94603;;;21260907555950005000550030000037291953981302
3730;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;50;705,18;RECEBIMENTO;R;;94606;;;21260907555950005000550030000037301160415704
448587;2;C001-CD BR;9620-VINICOLA PERINI LTDA - MATRIZ;2026-08-27-00.00.00.000000;2026-09-07-00.00.00.000000;1;97607,73;RECEBIMENTO;R;;91653;;;43260891319392000101550020004485871148766277
