NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
41174;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;57;3461,1;RECEBIDA;I;;87703;LIBERADA;;21260903835761000151550030000411741590159941
1948;3;R004-EMP.COHAMA;29-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;78,8;RECEBIDA;I;;88776;LIBERADA;;21260907555950002922550030000019481218665352
41454;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;59;3149,96;RECEBIDA;I;;88274;LIBERADA;;21260903835761000151550030000414541354811383
20428;1;R004-EMP.COHAMA;13604-BASTO MESQUITA DISTRIBUICAO E LOGISTICA LTDA;2026-08-28-00.00.00.000000;2026-09-01-00.00.00.000000;16;74,9;RECEBIDA;I;;88090;LIBERADA;;21260812464051000404550010000204281931111351
41199;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;51;349,71;RECEBIDA;I;;87728;LIBERADA;;21260903835761000151550030000411991421382618
41077;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;51;185,88;RECEBIDA;I;;87590;LIBERADA;;21260803835761000151550030000410771756896790
41069;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;51;691,36;RECEBIDA;I;;87582;LIBERADA;;21260803835761000151550030000410691430073365
41067;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;51;183,6;RECEBIDA;I;;87580;LIBERADA;;21260803835761000151550030000410671139786275
3413;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;930,15;RECEBIDA;I;;87896;LIBERADA;;21260907555950005000550030000034131605835480
3432;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;959,95;RECEBIDA;I;;88086;LIBERADA;;21260907555950005000550030000034321115269123
3433;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;404,47;RECEBIDA;I;;88087;LIBERADA;;21260907555950005000550030000034331473021301
3421;3;R004-EMP.COHAMA;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;3277,32;RECEBIDA;I;;88042;LIBERADA;;21260907555950005000550030000034211426092698
2135;3;R004-EMP.COHAMA;27-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;135,68;RECEBIDA;I;;87991;LIBERADA;;21260907555950002760550030000021351185977595
5465;1;R004-EMP.COHAMA;5894-TCL DISTRIBUIDORA E COMERCIO L;2026-08-28-00.00.00.000000;2026-09-01-00.00.00.000000;17;1031,87;RECEBIDA;I;;88148;LIBERADA;;21260838027567000124550010000054651233895593
75146;1;R004-EMP.COHAMA;2646-HIDROFOLHAS CULTIVO DE HORT LT;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;18;1562,8;RECEBIDA;I;;88254;LIBERADA;;22260812899448000259550010000751461578778880
869;3;R004-EMP.COHAMA;28-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-02-00.00.00.000000;2026-09-02-00.00.00.000000;50;12,65;RECEBIDA;I;;88552;LIBERADA;;21260907555950002841550030000008691478244931
774;55;R004-EMP.COHAMA;20166-ZILENE DA S DIAS DAMASCENO;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;18;234;RECEBIDA;I;;88691;LIBERADA;;21260946545815000157550550000007741300004370
41447;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;56;3894,76;RECEBIDA;I;;88267;LIBERADA;;21260903835761000151550030000414471825082691
41446;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;56;4863,94;RECEBIDA;I;;88266;LIBERADA;;21260903835761000151550030000414461474588574
41450;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;56;1143,2;RECEBIDA;I;;88270;LIBERADA;;21260903835761000151550030000414501871963862
